Gene_ID	par_rep1	par_rep2	per_rep1	per_rep2	per_rep3
ENSG00000223972.4	1	0	2	0	1
ENSG00000227232.4	47	58	120	114	150
ENSG00000243485.2	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0
ENSG00000268020.2	0	0	0	0	0
ENSG00000240361.1	0	0	0	0	0
ENSG00000186092.4	0	0	0	0	0
ENSG00000238009.2	1	0	1	0	0
ENSG00000239945.1	0	0	0	0	0
ENSG00000233750.3	0	0	1	2	6
ENSG00000237683.5	74	57	134	190	140
ENSG00000268903.1	0	0	0	0	0
ENSG00000269981.1	0	0	0	0	0
ENSG00000239906.1	0	0	0	0	0
ENSG00000241860.2	42	40	95	114	71
ENSG00000222623.1	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	2
ENSG00000228463.4	0	0	0	0	1
ENSG00000241670.2	0	0	0	0	0
ENSG00000237094.7	180	155	190	248	227
ENSG00000250575.1	0	0	0	0	0
ENSG00000233653.3	4	2	2	1	0
ENSG00000224813.2	0	0	0	0	0
ENSG00000235249.1	0	0	0	0	0
ENSG00000269732.1	0	0	0	0	0
ENSG00000256186.1	0	0	0	0	0
ENSG00000236601.1	0	0	2	2	1
ENSG00000236743.1	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0
ENSG00000231709.1	2	5	4	8	5
ENSG00000235146.2	0	0	0	1	0
ENSG00000239664.2	0	0	0	0	0
ENSG00000230021.3	0	0	0	0	0
ENSG00000223659.1	0	0	0	1	0
ENSG00000225972.1	150	167	82	103	86
ENSG00000225630.1	246	239	185	187	177
ENSG00000237973.1	4721	4176	6385	7483	5994
ENSG00000229344.1	627	574	732	857	675
ENSG00000240409.1	37	38	28	33	33
ENSG00000248527.1	365	318	337	317	342
ENSG00000198744.5	112882	109756	88322	93775	86451
ENSG00000268663.1	0	0	0	0	0
ENSG00000185097.2	0	0	0	0	0
ENSG00000229376.3	4	3	13	9	5
ENSG00000224956.5	32	21	48	57	63
ENSG00000235373.1	63	77	79	93	63
ENSG00000223181.1	0	0	0	0	0
ENSG00000240618.1	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0
ENSG00000228327.2	47	35	77	111	54
ENSG00000237491.4	77	70	156	182	146
ENSG00000230092.3	7	4	5	8	4
ENSG00000269831.1	0	0	1	1	2
ENSG00000240453.1	0	0	0	0	0
ENSG00000177757.1	7	7	23	27	15
ENSG00000225880.4	45	42	87	91	59
ENSG00000228794.4	2040	2087	2380	2412	2413
ENSG00000230368.2	1	0	2	1	0
ENSG00000234711.1	2	4	0	1	2
ENSG00000269308.1	0	0	0	0	0
ENSG00000272438.1	62	48	120	123	115
ENSG00000230699.2	328	332	689	719	724
ENSG00000241180.1	0	0	0	1	0
ENSG00000223764.2	1553	1425	4761	5465	5534
ENSG00000187634.6	402	331	1428	1605	1697
ENSG00000268179.1	12	11	23	32	28
ENSG00000188976.6	12622	12324	8744	9180	8612
ENSG00000187961.9	2034	2023	1974	2262	2346
ENSG00000187583.6	952	915	1120	1399	1245
ENSG00000187642.5	230	199	287	321	336
ENSG00000272512.1	36	51	17	25	27
ENSG00000188290.6	2802	2522	1399	1534	1603
ENSG00000231702.2	17	10	8	10	13
ENSG00000224969.1	12	11	20	17	30
ENSG00000187608.5	82	63	80	103	82
ENSG00000188157.9	19164	17924	24706	33969	30402
ENSG00000242590.1	0	0	0	0	0
ENSG00000217801.5	421	428	829	833	836
ENSG00000273443.1	33	33	57	59	53
ENSG00000237330.2	1960	1701	1726	1920	2042
ENSG00000131591.13	2533	2229	2345	2924	2771
ENSG00000223823.1	65	58	155	189	237
ENSG00000207730.1	10	14	9	27	22
ENSG00000207607.1	13	17	24	28	48
ENSG00000198976.1	41	34	59	61	61
ENSG00000272141.1	520	511	590	682	678
ENSG00000205231.1	8	6	5	1	2
ENSG00000162571.9	10	21	14	8	6
ENSG00000186891.9	381	387	122	137	154
ENSG00000186827.6	10	3	4	13	10
ENSG00000078808.12	15856	15060	10072	10948	10385
ENSG00000176022.3	2579	2352	2549	2634	2486
ENSG00000184163.3	168	141	179	200	194
ENSG00000260179.1	55	57	48	43	40
ENSG00000160087.16	5549	5195	3523	3742	3659
ENSG00000230415.1	20	22	58	85	57
ENSG00000162572.15	296	274	536	754	670
ENSG00000131584.14	8855	8183	6992	7831	7977
ENSG00000169972.7	1713	1673	859	978	1027
ENSG00000127054.14	9451	8944	9283	10358	9842
ENSG00000240731.1	421	380	439	513	565
ENSG00000224051.2	3510	3423	3020	3406	3181
ENSG00000169962.4	334	348	546	630	658
ENSG00000107404.13	6165	5847	4574	5615	5352
